symbol,event_time_et,event_time_utc,event_type,open,close,pct_move_1m,pct_move_3m,rel_vol_30d,prev_close,price_929,day_gain_pct_929plus,day_gain_pct_event,float_shares,float_lt_20m,pillar_day_gain_10pct,pillar_rel_vol_5x,pillar_score,news_has_catalyst,news_article_count,news_specific_count
ABVE,2025-10-10T09:43:00-04:00,2025-10-10T13:43:00+00:00,gap_3m_3pct,4.5037,4.575,1.58314274929503,4.707847939029142,1.5490563166121554,4.76,4.74,-0.42016806722687816,-3.886554621848737,51190000,False,False,False,0,,,
CD,2025-10-10T09:43:00-04:00,2025-10-10T13:43:00+00:00,gap_3m_3pct,30.855,30.99,0.437530384054452,3.265578140619785,0.351462894924997,31.45,30.54,-2.893481717011126,-1.4626391096979385,69870000,False,False,False,0,,,
MAMK,2025-10-10T09:43:00-04:00,2025-10-10T13:43:00+00:00,gap_3m_3pct,3.12,3.12,0.0,8.976597974153,5.306530723831272,3.13,2.9,-7.348242811501593,-0.31948881789136685,16620000,True,False,True,2,,,
NRIX,2025-10-10T09:43:00-04:00,2025-10-10T13:43:00+00:00,gap_3m_3pct,10.295,10.535,2.3312287518212793,3.18315377081293,6.163551478494309,10.86,10.02,-7.734806629834257,-2.992633517495391,102840000,False,False,True,1,,,
OPTXW,2025-10-10T09:43:00-04:00,2025-10-10T13:43:00+00:00,gap_3m_3pct,0.1,0.1,0.0,10.864745011086473,2.0045045045045047,,0.0902,,,,,False,False,0,,,
RGTX,2025-10-10T09:43:00-04:00,2025-10-10T13:43:00+00:00,gap_3m_3pct,348.635,355.0,1.8256916259124845,3.1452022953439407,1.472229559384691,347.92,359.0,3.184640147160267,2.0349505633478815,,,False,False,0,,,
YHGJ,2025-10-10T09:43:00-04:00,2025-10-10T13:43:00+00:00,gap_3m_3pct,8.345,8.8,5.45236668663871,5.389221556886237,42.890829270659005,6.0,8.09,34.833333333333336,46.66666666666668,2600000,True,True,True,3,,,
AMBO,2025-10-10T09:44:00-04:00,2025-10-10T13:44:00+00:00,gap_3m_3pct,6.198,6.6,6.485963213939971,7.755102040816331,0.11651623226620691,5.75,5.28,-8.173913043478255,14.782608695652177,5240000,True,False,False,1,,,
BEAT,2025-10-10T09:44:00-04:00,2025-10-10T13:44:00+00:00,gap_3m_3pct,1.805,1.805,0.0,3.142857142857136,0.3437070938215103,1.77,1.75,-1.1299435028248594,1.9774011299434902,34440000,False,False,False,0,,,
BNAI,2025-10-10T09:44:00-04:00,2025-10-10T13:44:00+00:00,gap_3m_3pct,0.5951,0.615,3.3439758023861677,4.131391804944129,0.11540796933192933,0.5276,0.5469,3.658074298711167,16.565579984837008,5830000,True,False,False,1,,,
CLIK,2025-10-10T09:44:00-04:00,2025-10-10T13:44:00+00:00,gap_3m_3pct,7.23,7.38,2.0746887966804906,3.2167832167832033,0.010018823449883363,0.2798,7.2,2473.2666190135815,2537.598284488921,3260000,True,True,False,2,,,
COIA,2025-10-10T09:44:00-04:00,2025-10-10T13:44:00+00:00,gap_3m_3pct,41.8067,41.8067,0.0,4.0226424483702505,0.22938313823490727,39.28,40.1,2.0875763747454146,6.432535641547865,,,False,False,0,,,
GWH,2025-10-10T09:44:00-04:00,2025-10-10T13:44:00+00:00,gap_3m_3pct,3.4695,3.52,1.4555411442570998,4.142011834319526,2038.977962131705,1.72,3.63,111.04651162790695,104.65116279069768,23380000,False,True,True,2,,,
LOCL,2025-10-10T09:44:00-04:00,2025-10-10T13:44:00+00:00,gap_3m_3pct,3.01,3.12,3.6544850498339,5.619498984427884,0.41280372993813325,2.99,2.92,-2.341137123745829,4.347826086956519,22270000,False,False,False,0,,,
MPAA,2025-10-10T09:44:00-04:00,2025-10-10T13:44:00+00:00,gap_3m_3pct,15.52,15.41,-0.7087628865979356,3.008021390374327,0.29696406123538427,15.25,15.25,0.0,1.0491803278688483,19560000,True,False,False,1,,,
OPTXW,2025-10-10T09:44:00-04:00,2025-10-10T13:44:00+00:00,gap_3m_3pct,0.1396,0.1396,0.0,40.86781029263371,0.24209447204479143,,0.0902,,,,,False,False,0,,,
SEGG,2025-10-10T09:44:00-04:00,2025-10-10T13:44:00+00:00,gap_3m_3pct,4.14,4.14,0.0,3.2418952618453734,0.34307257304429783,4.0,4.0,0.0,3.499999999999992,11660000,True,False,False,1,,,
YSXT,2025-10-10T09:44:00-04:00,2025-10-10T13:44:00+00:00,gap_3m_3pct,2.6926,2.73,1.38899205229146,4.198473282442738,0.6601076926782106,2.06,2.58,25.242718446601952,32.52427184466018,23440000,False,True,False,1,,,
BENF,2025-10-10T09:45:00-04:00,2025-10-10T13:45:00+00:00,gap_3m_3pct,0.5602,0.5602,0.0,3.6831389968535966,0.012392549260016051,0.5663,0.5532,-2.313261522161403,-1.0771675790217206,13870000,True,False,False,1,,,
CLIK,2025-10-10T09:45:00-04:00,2025-10-10T13:45:00+00:00,gap_3m_3pct,7.5,7.5,0.0,3.796171997176745,0.01383929061960905,0.2798,7.2,2473.2666190135815,2580.4860614724807,3260000,True,True,False,2,,,
LFS,2025-10-10T09:45:00-04:00,2025-10-10T13:45:00+00:00,gap_3m_3pct,4.19,4.31,2.8639618138424527,3.3275795934023744,,3.11,4.62,48.553054662379424,38.585209003215425,26160000,False,True,False,1,,,
LGO,2025-10-10T09:45:00-04:00,2025-10-10T13:45:00+00:00,gap_3m_3pct,1.88,1.91,1.5957446808510634,3.282323041150703,1.0707485623793214,1.85,1.85,0.0,3.2432432432432323,85600000,False,False,False,0,,,
NNAVW,2025-10-10T09:45:00-04:00,2025-10-10T13:45:00+00:00,gap_3m_3pct,5.8,5.8,0.0,5.8394160583941535,1.7767158992180712,5.49,5.48,-0.18214936247722413,5.64663023679417,,,False,False,0,,,
VSA,2025-10-10T09:45:00-04:00,2025-10-10T13:45:00+00:00,gap_3m_3pct,3.2289,3.2289,0.0,4.14462649980647,1.2077490645871944,2.78,2.9,4.316546762589923,16.147482014388494,11230000,True,False,False,1,,,
YSXT,2025-10-10T09:45:00-04:00,2025-10-10T13:45:00+00:00,gap_3m_3pct,2.73,2.7998,2.556776556776552,4.861423220973782,0.6985588824360816,2.06,2.58,25.242718446601952,35.91262135922329,23440000,False,True,False,1,,,
ABAT,2025-10-10T09:46:00-04:00,2025-10-10T13:46:00+00:00,gap_3m_3pct,7.16,7.2549,1.3254189944134076,3.0525568181818175,2.4862749359079714,6.24,6.441,3.221153846153846,16.264423076923084,131710000,False,False,False,0,,,
BNRG,2025-10-10T09:46:00-04:00,2025-10-10T13:46:00+00:00,gap_3m_3pct,1.82,1.83,0.5494505494505475,3.3898305084745894,0.2561785625328647,1.69,1.69,0.0,8.284023668639051,720000,True,False,False,1,,,
